Descricao,SMILES,Fórmula,Massa Molar,LogP,H-Donors/Acc,TPSA,Rotatable,Aromatic,mouse_vi_log_ld50,mouse_vi_ld50,mouse_vi_ghs,mouse_vo_log_ld50,mouse_vo_ld50,mouse_vo_ghs,mouse_ip_log_ld50,mouse_ip_ld50,mouse_ip_ghs,rat_vi_log_ld50,rat_vi_ld50,rat_vi_ghs,rat_vo_log_ld50,rat_vo_ld50,rat_vo_ghs,rat_ip_log_ld50,rat_ip_ld50,rat_ip_ghs
50-03-3,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,C23H32O6,404.50 g/mol,2.35,2/6,100.90 Å²,3,0,2.2112072,162.63243,3,3.7089255,5115.9404,5,2.9506006,892.4844,4,2.2391808,173.45259,3,3.7823741,6058.626,5,2.997006,993.12964,4
50-09-9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,C12H16N2O3,236.27 g/mol,1.20,1/3,66.48 Å²,1,0,2.1035824,126.93529,3,2.6600492,457.13998,4,2.3061614,202.37712,3,2.1763163,150.07773,3,2.869215,739.97156,4,2.315969,206.99936,3
