Descricao,SMILES,mouse_vi_log_ld50,mouse_vi_ld50,mouse_vi_ghs,mouse_vo_log_ld50,mouse_vo_ld50,mouse_vo_ghs,mouse_ip_log_ld50,mouse_ip_ld50,mouse_ip_ghs,rat_vi_log_ld50,rat_vi_ld50,rat_vi_ghs,rat_vo_log_ld50,rat_vo_ld50,rat_vo_ghs,rat_ip_log_ld50,rat_ip_ld50,rat_ip_ghs
50-03-3,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,2.6480129,444.64444,4,3.8980613,7907.902,5,3.484676,3052.642,5,2.690604,490.46042,4,3.9338448,8587.066,5,3.5655732,3677.6738,5
50-07-7,,1.9317441,85.45631,3,2.7759767,597.0032,4,2.2931705,196.4131,3,1.8867773,77.05082,3,2.691981,492.0181,4,2.2138155,163.6121,3
50-09-9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1.9189961,82.98433,3,2.8289604,674.46655,4,2.421464,263.91495,3,1.9730208,93.97683,3,2.933158,857.34955,4,2.4261146,266.75623,3
