Descricao,SMILES,mouse_vi_log_ld50,mouse_vi_ld50,mouse_vi_ghs,mouse_vo_log_ld50,mouse_vo_ld50,mouse_vo_ghs,mouse_ip_log_ld50,mouse_ip_ld50,mouse_ip_ghs,rat_vi_log_ld50,rat_vi_ld50,rat_vi_ghs,rat_vo_log_ld50,rat_vo_ld50,rat_vo_ghs,rat_ip_log_ld50,rat_ip_ld50,rat_ip_ghs
50-03-3,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC21C,2.5106423,324.07257,4,3.7428608,5531.7275,5,3.34648,2220.649,5,2.6022515,400.17645,4,3.8648176,7325.1685,5,3.4918175,3103.2551,5
50-07-7,,1.9904926,97.834625,3,2.85181,710.9024,4,2.4262738,266.85406,3,1.9572575,90.62698,3,2.7253766,531.34503,4,2.385156,242.74814,3
50-09-9,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1.9918742,98.14636,3,2.9501152,891.48737,4,2.5248148,334.82266,4,2.1550562,142.9079,3,3.1839929,1527.5409,4,2.6303198,426.8938,4
